t_s,cmd_rad,act_rad,err_rad,vel_rads,torque_nm,temp_c
2e-06,0.0,0.000192,-0.000192,0.055894,-0.000214,24.0
0.02048,0.000126,0.000192,-6.6e-05,0.035752,0.004486,24.0
0.040978,0.000504,0.000192,0.000312,0.080064,0.008331,24.0
0.0617,0.001142,0.000192,0.00095,0.020645,-0.032685,24.0
0.08242,0.002038,0.000192,0.001846,0.03978,0.001068,24.0
0.10296,0.00318,0.000192,0.002988,-0.020645,0.026703,24.0
0.123421,0.00457,0.000192,0.004378,0.010575,0.020722,24.0
0.143962,0.006217,0.000575,0.005642,-0.025681,0.03183,24.0
0.164354,0.008104,0.000959,0.007145,0.071,0.04892,24.0
0.184764,0.010241,0.001342,0.008899,0.048844,0.082673,24.0
0.205313,0.012646,0.002109,0.010536,0.033738,0.108309,24.0
0.225665,0.015277,0.002876,0.012401,0.020645,0.117281,24.0
0.246103,0.018169,0.00441,0.013759,0.065965,0.080537,24.0
0.266655,0.02133,0.007095,0.014235,0.238178,0.050202,24.0
0.287393,0.024776,0.009396,0.01538,0.106249,0.095918,24.0
0.307683,0.028397,0.011697,0.0167,0.10222,0.091218,24.0
0.327981,0.032266,0.013614,0.018652,0.084092,0.121126,24.0
0.348303,0.036386,0.016299,0.020088,0.099199,0.108309,24.0
0.368574,0.040743,0.018983,0.021759,0.081071,0.150607,24.0
0.388811,0.045337,0.021284,0.024052,0.106249,0.233066,24.0
0.409272,0.05023,0.024736,0.025494,0.208972,0.127108,24.0
0.429749,0.055377,0.028954,0.026423,0.141497,0.116426,24.0
0.450165,0.060757,0.033556,0.027201,0.216022,0.041657,24.0
0.470596,0.066389,0.038925,0.027464,0.239185,0.02884,24.0
0.491042,0.072274,0.044294,0.027979,0.247242,0.04593,24.0
0.511605,0.078441,0.048896,0.029545,0.267384,0.090791,24.0
0.531907,0.084776,0.054265,0.03051,0.221057,0.122835,24.0
0.552233,0.091361,0.058867,0.032493,0.247242,0.151888,24.0
0.572856,0.09829,0.064236,0.034054,0.257313,0.146334,24.0
0.593354,0.105425,0.069989,0.035436,0.280476,0.117708,24.0
0.61366,0.112733,0.075741,0.036992,0.306661,0.078401,24.0
0.634058,0.120317,0.082644,0.037672,0.3691,0.055329,24.0
0.65441,0.128123,0.089931,0.038192,0.312703,0.045502,24.0
0.674765,0.136168,0.097601,0.038567,0.380179,0.093355,24.0
0.695058,0.144425,0.104121,0.040304,0.25127,0.155306,24.0
0.715398,0.152936,0.110257,0.042679,0.298604,0.170687,24.0
0.735853,0.16173,0.117927,0.043804,0.3832,0.084382,24.0
0.75631,0.17076,0.12598,0.04478,0.391257,0.103182,24.0
0.77698,0.180121,0.134417,0.045704,0.382193,0.096345,24.0
0.798035,0.189898,0.143238,0.04666,0.375143,0.072847,24.0
0.818518,0.199641,0.151675,0.047966,0.309682,0.199313,24.0
0.839165,0.209691,0.159728,0.049963,0.370108,0.208713,24.0
0.859452,0.219788,0.168549,0.05124,0.366079,0.082246,24.0
0.879838,0.230153,0.17852,0.051633,0.502037,0.081819,24.0
0.900205,0.240723,0.188107,0.052616,0.485924,0.120699,24.0
0.920642,0.251543,0.197695,0.053849,0.415427,0.135225,24.0
0.940895,0.262474,0.206899,0.055575,0.444633,0.149325,24.0
0.961373,0.273733,0.21687,0.056863,0.520165,0.096345,24.0
0.981929,0.285239,0.227608,0.057631,0.529229,0.15787,24.0
1.002331,0.296857,0.238729,0.058128,0.49398,0.169833,24.0
1.022874,0.308753,0.249084,0.059669,0.437583,0.149752,24.0
1.043565,0.320927,0.259438,0.061489,0.546349,0.104891,24.0
1.064129,0.333215,0.27056,0.062655,0.540307,0.163424,24.0
1.084729,0.345706,0.282832,0.062874,0.576562,0.212131,24.0
1.105276,0.358341,0.293954,0.064387,0.47686,0.189059,24.0
1.125801,0.371133,0.305459,0.065674,0.555413,0.12668,24.0
1.14614,0.383969,0.317731,0.066238,0.613825,0.200168,24.0
1.166558,0.397011,0.330003,0.067008,0.617853,0.191623,24.0
1.186967,0.410194,0.341891,0.068303,0.549371,0.223667,24.0
1.207484,0.42359,0.354163,0.069427,0.626917,0.129244,24.0
1.228031,0.437142,0.367202,0.069939,0.597711,0.249302,24.0
1.248779,0.450955,0.380241,0.070713,0.552392,0.20914,24.0
1.269402,0.464805,0.392897,0.071909,0.554406,0.191196,24.0
1.289944,0.478712,0.405552,0.073159,0.645045,0.212985,24.0
1.310459,0.492701,0.419742,0.072959,0.572534,0.243748,24.0
1.331112,0.506876,0.432781,0.074096,0.672236,0.209567,24.0
1.351784,0.521148,0.446203,0.074945,0.661158,0.222385,24.0
1.372514,0.535533,0.460393,0.07514,0.70547,0.230076,24.0
1.393004,0.549811,0.474199,0.075612,0.579583,0.271092,24.0
1.413617,0.564224,0.487622,0.076603,0.675257,0.175387,24.0
1.43409,0.578578,0.501811,0.076767,0.714534,0.295018,24.0
1.454811,0.593132,0.516001,0.077131,0.682307,0.251011,24.0
1.475265,0.60751,0.529807,0.077703,0.667201,0.171542,24.0
1.49574,0.621904,0.543996,0.077908,0.699428,0.278782,24.0
1.516033,0.636157,0.558953,0.077204,0.724605,0.245884,24.0
1.536403,0.650437,0.572375,0.078062,0.647059,0.233066,24.0
1.557095,0.664902,0.586181,0.078721,0.65008,0.305272,24.0
1.577446,0.679074,0.601521,0.077553,0.709499,0.236912,24.0
1.597868,0.693225,0.615327,0.077898,0.669215,0.256565,24.0
1.618229,0.707249,0.629133,0.078116,0.699428,0.306126,24.0
1.638507,0.721116,0.64409,0.077026,0.731655,0.27921,24.0
1.65887,0.734924,0.657513,0.077412,0.684321,0.296727,24.0
1.679321,0.748658,0.671319,0.077339,0.700435,0.26041,24.0
1.699837,0.762284,0.685508,0.076776,0.726619,0.349279,24.0
1.720239,0.775664,0.699698,0.075967,0.673243,0.295018,24.0
1.740559,0.788806,0.712737,0.076069,0.651087,0.225803,24.0
1.760812,0.801702,0.726926,0.074776,0.642023,0.340307,24.0
1.781154,0.814434,0.740349,0.074085,0.675257,0.267247,24.0
1.801476,0.826913,0.753388,0.073525,0.578576,0.268956,24.0
1.821829,0.83915,0.766427,0.072723,0.691371,0.2963,24.0
1.842274,0.85116,0.780233,0.070927,0.616846,0.309972,24.0
1.862854,0.862944,0.792121,0.070823,0.578576,0.336889,24.0
1.883394,0.874378,0.804777,0.069601,0.606775,0.288609,24.0
1.903965,0.885479,0.817816,0.067663,0.607782,0.328344,24.0
1.924554,0.896219,0.830088,0.066131,0.466789,0.333043,24.0
1.945077,0.906533,0.84121,0.065323,0.523186,0.294163,24.0
1.96561,0.916438,0.852715,0.063724,0.626917,0.315953,24.0
1.98605,0.925865,0.864603,0.061262,0.534264,0.375341,24.0
2.006607,0.934887,0.874958,0.059929,0.509087,0.345006,24.0
2.027024,0.94337,0.885312,0.058058,0.559442,0.309117,24.0
2.04761,0.951419,0.8949,0.056519,0.449668,0.315526,24.0
2.068287,0.958969,0.905638,0.053331,0.473838,0.341161,24.0
2.088707,0.965877,0.914842,0.051035,0.420462,0.37406,24.0
2.109134,0.97222,0.922128,0.050091,0.341909,0.415076,24.0
2.129525,0.977961,0.930565,0.047396,0.463767,0.301427,24.0
2.149916,0.983091,0.939002,0.044089,0.402335,0.317235,24.0
2.170566,0.98764,0.946672,0.040968,0.347951,0.357824,24.0
2.191348,0.991537,0.953959,0.037578,0.379171,0.328771,24.0
2.212077,0.99472,0.959711,0.035008,0.223072,0.362951,24.0
2.232747,0.99717,0.963546,0.033624,0.189837,0.439857,24.0
2.253248,0.998865,0.967765,0.0311,0.257313,0.403967,24.0
2.274035,0.999811,0.972367,0.027444,0.183795,0.35697,24.0
2.294654,0.999961,0.976969,0.022992,0.23415,0.280491,24.0
2.315051,0.999314,0.98042,0.018894,0.150561,0.318517,24.0
2.335514,0.99785,0.982721,0.015128,0.104234,0.31809,24.0
2.355907,0.995558,0.984639,0.010919,0.066972,0.32578,24.0
2.376637,0.992356,0.985406,0.00695,0.029709,0.309545,24.0
2.397563,0.988212,0.985406,0.002806,-0.010575,0.2916,24.0
2.418479,0.983135,0.985022,-0.001887,-0.043809,0.235203,24.0
2.439209,0.977163,0.984255,-0.007093,-0.059922,0.198886,24.0
2.459795,0.970287,0.983105,-0.012818,-0.061936,0.124117,24.0
2.480719,0.962318,0.980804,-0.018486,-0.143511,0.110018,24.0
2.501279,0.953509,0.976969,-0.02346,-0.189837,0.116854,24.0
2.521633,0.943819,0.971983,-0.028165,-0.216022,0.146761,24.0
2.542056,0.933114,0.965847,-0.032734,-0.32076,0.20444,24.0
2.56286,0.921186,0.957794,-0.036608,-0.434562,0.228367,24.0
2.583743,0.908163,0.94974,-0.041577,-0.378164,0.159579,24.0
2.604654,0.894059,0.94092,-0.046861,-0.429526,0.189487,24.0
2.625645,0.878823,0.930565,-0.051743,-0.47686,0.203159,24.0
2.646258,0.862803,0.919827,-0.057024,-0.573541,0.215976,24.0
2.666884,0.845719,0.907172,-0.061452,-0.603754,0.269383,24.0
2.687737,0.827373,0.894133,-0.06676,-0.655116,0.150607,24.0
2.708228,0.80829,0.880327,-0.072036,-0.615839,0.213413,24.0
2.728585,0.788299,0.864987,-0.076688,-0.740719,0.294163,24.0
2.749003,0.767215,0.848496,-0.081281,-0.725612,0.176242,24.0
2.769382,0.745144,0.832006,-0.086862,-0.855528,0.221103,24.0
2.789756,0.722057,0.813597,-0.091541,-0.951202,0.250156,24.0
2.81012,0.697971,0.794806,-0.096835,-0.980407,0.181796,24.0
2.830472,0.6729,0.774864,-0.101964,-0.973358,0.162997,24.0
2.850863,0.646788,0.754155,-0.107366,-1.01062,0.082673,24.0
2.871232,0.619731,0.731912,-0.11218,-1.086152,0.206577,24.0
2.891645,0.591654,0.709285,-0.117631,-1.191897,0.102754,24.0
2.911981,0.562744,0.685125,-0.12238,-1.161685,0.144198,24.0
2.932304,0.53294,0.659814,-0.126874,-1.19089,0.091218,24.0
2.952703,0.502127,0.634119,-0.131992,-1.271458,0.101472,24.0
2.973323,0.470094,0.60689,-0.136796,-1.349004,0.13608,24.0
2.994135,0.436891,0.578511,-0.14162,-1.37116,0.060029,24.0
3.015052,0.402669,0.548982,-0.146313,-1.414466,0.16257,24.0
3.036082,0.367439,0.518302,-0.150863,-1.421515,0.100618,24.0
3.056837,0.3319,0.486855,-0.154955,-1.526253,0.075837,24.0
3.077665,0.295506,0.455024,-0.159518,-1.553445,0.073274,24.0
3.098733,0.257997,0.421659,-0.163663,-1.637034,0.132235,24.0
3.119241,0.220856,0.387528,-0.166671,-1.654154,0.051484,24.0
3.139761,0.183124,0.353396,-0.170272,-1.631998,0.012604,24.0
3.160474,0.144505,0.318498,-0.173992,-1.711559,0.050629,24.0
3.181063,0.105646,0.282449,-0.176802,-1.700481,0.061738,24.0
3.201706,0.066269,0.246016,-0.179747,-1.789105,0.048493,24.0
3.22256,0.026122,0.208816,-0.182695,-1.821332,0.012177,24.0
3.24343,-0.014359,0.17085,-0.185208,-1.771984,-0.047211,24.0
3.264115,-0.054714,0.132116,-0.186831,-1.900893,-0.020722,24.0
3.284555,-0.094756,0.093766,-0.188522,-1.814282,-0.039521,24.0
3.305195,-0.135286,0.055799,-0.191085,-1.819318,-0.013458,24.0
3.325861,-0.175894,0.015915,-0.191809,-1.850538,-0.007904,24.0
3.346323,-0.216054,-0.023202,-0.192852,-1.841474,-0.042512,24.0
3.366777,-0.256079,-0.062702,-0.193377,-1.932113,-0.057038,24.0
3.38715,-0.295753,-0.102203,-0.19355,-1.886793,-0.081819,24.0
3.407803,-0.335696,-0.142087,-0.193609,-1.850538,-0.077119,24.0
3.428487,-0.37534,-0.181971,-0.193369,-1.922042,-0.067292,24.0
3.449199,-0.414596,-0.221855,-0.19274,-1.86363,-0.103609,24.0
3.469871,-0.45325,-0.261739,-0.191511,-1.935134,-0.079255,24.0
3.490721,-0.491619,-0.300857,-0.190763,-1.872694,-0.089082,24.0
3.511478,-0.529109,-0.340741,-0.188369,-1.872694,-0.03183,24.0
3.532063,-0.565507,-0.379474,-0.186033,-1.787091,-0.132662,24.0
3.552566,-0.600899,-0.417441,-0.183459,-1.823346,-0.122408,24.0
3.572913,-0.635086,-0.455407,-0.179678,-1.809247,-0.179232,24.0
3.59325,-0.66824,-0.492224,-0.176016,-1.754864,-0.18436,24.0
3.613562,-0.700256,-0.527889,-0.172367,-1.70753,-0.151461,24.0
3.634146,-0.731495,-0.562788,-0.168707,-1.621927,-0.192477,24.0
3.654626,-0.761286,-0.597686,-0.1636,-1.603799,-0.264256,24.0
3.674989,-0.789547,-0.631051,-0.158496,-1.668254,-0.233921,24.0
3.695339,-0.816352,-0.663649,-0.152704,-1.563516,-0.167697,24.0
3.716049,-0.842073,-0.694329,-0.147744,-1.423529,-0.269383,24.0
3.736678,-0.866045,-0.725392,-0.140653,-1.443671,-0.259983,24.0
